Candidate_id,Candidate,Constituency,Party,Age,Gender,Criminal_Cases,Serious_Criminal_Cases,Education,Total_Assets,liabilities,category
70,S R Srinivas (Vasu),GUBBI,INC,60,MALE,1,Yes,Graduate,172671851,62809925,GENERAL
71,Allamprabhu Patil,GULBARGA DAKSHIN,INC,67,MALE,0,No,Graduate,68462021,10738899,GENERAL
72,Basawaraj Mattimudu,GULBARGA RURAL (SC),BJP,43,MALE,0,No,12th Pass,268652641,130204161,SC
73,Kaneez Fatima,GULBARGA UTTAR,INC,64,FEMALE,0,No,12th Pass,184367677,853448,GENERAL
74,H.M.Ganesh Prasad,GUNDLUPET,INC,38,MALE,0,No,Graduate,273795488,168717170,GENERAL
75,Sharana Gowda Kandakur,GURMITKAL,JD(S),41,MALE,3,Yes,Graduate,25519688,3053900,GENERAL
76,Krishna Nayaka,HADAGALI (SC),BJP,40,MALE,1,Yes,Graduate Professional,428052937,347171669,SC
77,Nemarajanaik.K,HAGARIBOMMANAHALLI (SC),JD(S),52,MALE,3,No,Graduate,100109183,29292072,SC
78,Deshpande Raghunath,HALIYAL,INC,76,MALE,1,No,Graduate Professional,3632113405,140883428,GENERAL
79,Mane Srinivas,HANGAL,INC,48,MALE,0,No,Graduate,101433096,30415650,GENERAL
80,M.R. Manjunath,HANUR,JD(S),50,MALE,0,No,10th Pass,3166796220,612284950,GENERAL
81,Latha Mallikarjun,HARAPANAHALLI,IND,57,FEMALE,0,No,12th Pass,72929747,6491783,GENERAL
82,B P Harish,HARIHAR,BJP,62,MALE,0,No,Graduate,57339331,12341925,GENERAL
83,H. P. Swaroop,HASSAN,JD(S),40,MALE,0,No,Graduate Professional,76138629,20839735,GENERAL
84,Rudrappa Manappa Lamani,HAVERI (SC),INC,64,MALE,0,No,Graduate,103682530,34463477,SC
85,Suresha B S,HEBBAL,INC,51,MALE,2,No,12th Pass,6481494854,1148674690,GENERAL
86,Anil Chikkamadhu,HEGGADADEVANKOTE (ST),INC,34,MALE,2,No,10th Pass,149443273,20451438,ST
87,Ujaneshwar Basavannappa Banakar,HIREKERUR,INC,63,MALE,0,No,Graduate Professional,57439041,891826,GENERAL
88,D Sudakar,HIRIYUR,INC,63,MALE,2,Yes,Graduate,1356940368,1145231046,GENERAL
89,M.Chandrappa,HOLALKERE (SC),BJP,71,MALE,0,No,Graduate,257587486,576640,SC
90,H D Revanna,HOLENARASIPUR,JD(S),65,MALE,0,No,10th Pass,800203059,152478385,GENERAL
91,Shanthana Gowda.D.G.,HONNALI,INC,74,MALE,2,Yes,8th Pass,203970523,42268521,GENERAL
92,B G Govindappa,HOSADURGA,INC,67,MALE,1,No,12th Pass,29098000,1873590,GENERAL
93,Sharath Kumar Bachegowda,HOSAKOTE,INC,41,MALE,4,Yes,Post Graduate,1077459876,15054123,GENERAL
94,Mahesh Tenginakai,HUBLI-DHARWAD-CENTRAL,BJP,52,MALE,1,Yes,10th Pass,14021961,700900,GENERAL
95,Abbayya Prasad,HUBLI-DHARWAD-EAST (SC),INC,54,MALE,0,No,12th Pass,59602725,16012013,SC
96,Arvind Bellad,HUBLI-DHARWAD-WEST,BJP,53,MALE,0,No,Graduate Professional,1065705489,148105000,GENERAL
97,Katti Nikhil Umesh,HUKKERI,BJP,40,MALE,1,No,Post Graduate,1219528236,97097,GENERAL
98,Siddu Patil,HUMNABAD,BJP,45,MALE,3,Yes,Graduate Professional,89073491,65320101,GENERAL
99,Kashappanavara Vijayanand Shivashankrappa,HUNGUND,INC,51,MALE,11,Yes,12th Pass,99121943,29294425,GENERAL
100,G.D. Harish Gowda,HUNSUR,JD(S),36,MALE,1,Yes,Graduate Professional,375957457,335072848,GENERAL
101,Yashavantaraygoud. Vittalagoud. Patil,INDI,INC,56,MALE,3,Yes,12th Pass,116872478,35881940,GENERAL
102,B.Devendrappa,JAGALUR (ST),INC,61,MALE,0,No,12th Pass,21154681,3200000,ST
103,Jagadeesh Shivayya Gudagunti,JAMKHANDI,BJP,68,MALE,0,No,10th Pass,575878204,42896510,GENERAL
104,C K Ramamurthy,JAYANAGAR,BJP,57,MALE,3,Yes,12th Pass,339095742,47991688,GENERAL
105,Ajay Dharam Singh,JEVARGI,INC,49,MALE,1,No,Graduate Professional,657904532,378416840,GENERAL
106,B. A. Basavaraja,K.R. PURA,BJP,59,MALE,3,No,12th Pass,1225222505,231884072,GENERAL
107,K S Anand,KADUR,INC,44,MALE,2,Yes,Graduate,46344594,4166668,GENERAL
108,Bharamgouda Alagouda Kage,KAGWAD,INC,65,MALE,0,No,Graduate,179596137,0,GENERAL
109,Santosh S Lad,KALAGHATGI,INC,48,MALE,8,No,Graduate,1388295352,241657541,GENERAL
110,J N Ganesh,KAMPLI (ST),INC,44,MALE,0,No,12th Pass,88965355,8889479,ST
111,Tangadagi Shivaraj Sangappa,KANAKAGIRI (SC),INC,53,MALE,0,No,Graduate,170242177,82200342,SC
112,D K Shivakumar,KANAKAPURA,INC,60,MALE,19,Yes,Post Graduate,14138002404,2650692812,GENERAL
113,Gurme Suresh Shetty,KAPU,BJP,60,MALE,3,Yes,Graduate,332958223,38535063,GENERAL
114,V Sunill Kumar,KARKALA,BJP,47,MALE,1,Yes,Graduate,79837365,4852656,GENERAL
115,Satish Krishna Sail,KARWAR,INC,57,MALE,14,Yes,Graduate,568440450,176330172,GENERAL
